codice_istat,denominazione,codice_catastale,regione,provincia,sigla_provincia,superficie_km2,popolazione_residente,popolazione_legale,zona_altimetrica,altitudine,comune_litoraneo,comune_isolano
001001,Agliè,A074,Piemonte,Torino,TO,13.1463,2585,2562,3,333,0,0
001002,Airasca,A109,Piemonte,Torino,TO,15.7393,3695,3660,5,261,0,0
001003,Ala di Stura,A117,Piemonte,Torino,TO,46.3316,463,467,1,1073,0,0
001004,Albiano d'Ivrea,A157,Piemonte,Torino,TO,11.7397,1624,1637,3,233,0,0
001006,Almese,A218,Piemonte,Torino,TO,17.8741,6297,6331,3,375,0,0
001007,Alpette,A221,Piemonte,Torino,TO,5.6311,248,240,1,961,0,0
001008,Alpignano,A222,Piemonte,Torino,TO,11.9193,16494,16501,3,339,0,0
001009,Andezeno,A275,Piemonte,Torino,TO,7.4859,1995,2036,3,278,0,0
001010,Andrate,A282,Piemonte,Torino,TO,9.309,466,474,1,842,0,0
001011,Angrogna,A295,Piemonte,Torino,TO,38.8781,804,827,1,765,0,0
001012,Arignano,A405,Piemonte,Torino,TO,8.1666,1068,1072,3,324,0,0
001013,Avigliana,A518,Piemonte,Torino,TO,23.2173,12139,12350,3,395,0,0
001014,Azeglio,A525,Piemonte,Torino,TO,9.9528,1242,1240,3,265,0,0
001015,Bairo,A584,Piemonte,Torino,TO,7.0859,787,790,3,370,0,0
001016,Balangero,A587,Piemonte,Torino,TO,13.0065,3049,3064,3,437,0,0
001017,Baldissero Canavese,A590,Piemonte,Torino,TO,4.5064,482,530,3,382,0,0
001018,Baldissero Torinese,A591,Piemonte,Torino,TO,15.4046,3734,3755,3,409,0,0
001019,Balme,A599,Piemonte,Torino,TO,62.7105,99,105,1,1441,0,0
001020,Banchette,A607,Piemonte,Torino,TO,2.0289,3112,3085,3,250,0,0
001021,Barbania,A625,Piemonte,Torino,TO,12.8027,1552,1570,3,362,0,0
001022,Bardonecchia,A651,Piemonte,Torino,TO,132.203,2871,3044,1,1291,0,0
001023,Barone Canavese,A673,Piemonte,Torino,TO,3.9864,531,556,3,341,0,0
001024,Beinasco,A734,Piemonte,Torino,TO,6.7366,17351,17464,5,266,0,0
001025,Bibiana,A853,Piemonte,Torino,TO,18.5987,3364,3378,3,412,0,0
001026,Bobbio Pellice,A910,Piemonte,Torino,TO,94.082,523,539,1,746,0,0
001027,Bollengo,A941,Piemonte,Torino,TO,14.2237,2115,2098,3,253,0,0
001028,Borgaro Torinese,A990,Piemonte,Torino,TO,11.1093,11642,11827,5,262,0,0
001029,Borgiallo,B003,Piemonte,Torino,TO,6.9647,577,582,1,570,0,0
001030,Borgofranco d'Ivrea,B015,Piemonte,Torino,TO,13.419,3457,3555,3,259,0,0
001031,Borgomasino,B021,Piemonte,Torino,TO,12.3713,763,773,3,257,0,0
001032,Borgone Susa,B024,Piemonte,Torino,TO,4.9616,2236,2151,1,395,0,0
001033,Bosconero,B075,Piemonte,Torino,TO,10.9191,3075,3066,5,246,0,0
001034,Brandizzo,B121,Piemonte,Torino,TO,6.39,8738,8701,5,189,0,0
001035,Bricherasio,B171,Piemonte,Torino,TO,22.7583,4600,4616,3,392,0,0
001036,Brosso,B205,Piemonte,Torino,TO,11.135,390,394,1,772,0,0
001037,Brozolo,B209,Piemonte,Torino,TO,8.9471,434,454,3,368,0,0
001038,Bruino,B216,Piemonte,Torino,TO,5.5702,8388,8489,3,322,0,0
001039,Brusasco,B225,Piemonte,Torino,TO,14.3591,1493,1490,3,171,0,0
001040,Bruzolo,B232,Piemonte,Torino,TO,12.5597,1478,1492,1,464,0,0
001041,Buriasco,B278,Piemonte,Torino,TO,14.6868,1299,1337,5,305,0,0
001042,Burolo,B279,Piemonte,Torino,TO,5.476,1105,1105,3,282,0,0
001043,Busano,B284,Piemonte,Torino,TO,5.0591,1608,1622,5,321,0,0
001044,Bussoleno,B297,Piemonte,Torino,TO,37.0661,5755,5652,1,440,0,0
001045,Buttigliera Alta,B305,Piemonte,Torino,TO,8.0973,6221,6304,3,419,0,0
001046,Cafasse,B350,Piemonte,Torino,TO,10.2313,3359,3310,3,413,0,0
001047,Caluso,B435,Piemonte,Torino,TO,39.4924,7309,7388,5,308,0,0
001048,Cambiano,B462,Piemonte,Torino,TO,14.1313,5837,5900,5,264,0,0
001049,Campiglione Fenile,B512,Piemonte,Torino,TO,11.0864,1292,1330,5,368,0,0
001050,Candia Canavese,B588,Piemonte,Torino,TO,9.1318,1157,1209,3,294,0,0
001051,Candiolo,B592,Piemonte,Torino,TO,11.8499,5559,5610,5,240,0,0
001052,Canischio,B605,Piemonte,Torino,TO,11.9504,266,286,1,673,0,0
001053,Cantalupa,B628,Piemonte,Torino,TO,11.1953,2572,2602,3,457,0,0
001054,Cantoira,B637,Piemonte,Torino,TO,23.0319,644,596,1,775,0,0
001055,Caprie,B705,Piemonte,Torino,TO,16.4077,2010,2060,1,380,0,0
001056,Caravino,B733,Piemonte,Torino,TO,11.537,885,901,3,267,0,0
001057,Carema,B762,Piemonte,Torino,TO,10.2591,711,739,1,352,0,0
001058,Carignano,B777,Piemonte,Torino,TO,50.6791,9232,9052,5,245,0,0
001059,Carmagnola,B791,Piemonte,Torino,TO,95.7163,28084,28313,5,246,0,0
001060,Casalborgone,B867,Piemonte,Torino,TO,20.1238,1876,1855,3,204,0,0
001061,Cascinette d'Ivrea,B953,Piemonte,Torino,TO,2.1726,1499,1524,3,249,0,0
001062,Caselette,B955,Piemonte,Torino,TO,14.3141,3036,3034,3,362,0,0
001063,Caselle Torinese,B960,Piemonte,Torino,TO,23.5512,13738,13834,5,284,0,0
001064,Castagneto Po,C045,Piemonte,Torino,TO,11.5245,1754,1763,3,487,0,0
001065,Castagnole Piemonte,C048,Piemonte,Torino,TO,17.2795,2191,2179,5,248,0,0
001066,Castellamonte,C133,Piemonte,Torino,TO,38.7063,9826,9695,3,351,0,0
001067,Castelnuovo Nigra,C241,Piemonte,Torino,TO,28.3756,407,401,1,819,0,0
001068,Castiglione Torinese,C307,Piemonte,Torino,TO,14.1346,6504,6469,3,217,0,0
001069,Cavagnolo,C369,Piemonte,Torino,TO,12.3286,2328,2226,3,176,0,0
001070,Cavour,C404,Piemonte,Torino,TO,48.9599,5384,5374,5,304,0,0
001071,Cercenasco,C487,Piemonte,Torino,TO,13.1596,1777,1782,5,261,0,0
001072,Ceres,C497,Piemonte,Torino,TO,28.0516,984,1017,1,704,0,0
001073,Ceresole Reale,C505,Piemonte,Torino,TO,99.8164,149,159,1,1617,0,0
001074,Cesana Torinese,C564,Piemonte,Torino,TO,121.7006,874,913,1,1348,0,0
001075,Chialamberto,C604,Piemonte,Torino,TO,35.4479,328,344,1,850,0,0
001076,Chianocco,C610,Piemonte,Torino,TO,18.6132,1499,1552,1,557,0,0
001077,Chiaverano,C624,Piemonte,Torino,TO,12.0224,1974,1985,3,321,0,0
001078,Chieri,C627,Piemonte,Torino,TO,54.1967,35819,35916,5,289,0,0
001079,Chiesanuova,C629,Piemonte,Torino,TO,4.1187,229,231,1,662,0,0
001080,Chiomonte,C639,Piemonte,Torino,TO,26.755,850,870,1,746,0,0
001081,Chiusa di San Michele,C655,Piemonte,Torino,TO,5.9167,1514,1556,1,379,0,0
001082,Chivasso,C665,Piemonte,Torino,TO,51.2027,26058,26275,5,191,0,0
001083,Ciconio,C679,Piemonte,Torino,TO,3.1638,365,364,5,279,0,0
001084,Cintano,C711,Piemonte,Torino,TO,4.9344,232,240,1,648,0,0
001085,Cinzano,C715,Piemonte,Torino,TO,6.1965,338,323,3,476,0,0
001086,Ciriè,C722,Piemonte,Torino,TO,17.7329,18065,18212,5,351,0,0
001087,Claviere,C793,Piemonte,Torino,TO,2.6871,190,204,1,1768,0,0
001088,Coassolo Torinese,C801,Piemonte,Torino,TO,27.8788,1476,1444,1,730,0,0
001089,Coazze,C803,Piemonte,Torino,TO,56.5724,3350,3218,1,753,0,0
001090,Collegno,C860,Piemonte,Torino,TO,18.1075,47814,48574,5,307,0,0
001091,Colleretto Castelnuovo,C867,Piemonte,Torino,TO,6.3321,324,312,1,585,0,0
001092,Colleretto Giacosa,C868,Piemonte,Torino,TO,4.5895,588,596,3,264,0,0
001093,Condove,C955,Piemonte,Torino,TO,71.1129,4436,4437,1,385,0,0
001094,Corio,D008,Piemonte,Torino,TO,41.4917,3089,3048,1,626,0,0
001095,Cossano Canavese,D092,Piemonte,Torino,TO,3.2387,411,440,3,350,0,0
001096,Cuceglio,D197,Piemonte,Torino,TO,6.8709,923,930,3,360,0,0
001097,Cumiana,D202,Piemonte,Torino,TO,60.7335,7793,7821,3,382,0,0
001098,Cuorgnè,D208,Piemonte,Torino,TO,19.3083,9495,9411,3,417,0,0
001099,Druento,D373,Piemonte,Torino,TO,27.5394,8986,8973,3,281,0,0
001100,Exilles,D433,Piemonte,Torino,TO,46.5473,245,241,1,877,0,0
001101,Favria,D520,Piemonte,Torino,TO,14.8499,4982,5115,5,325,0,0
001102,Feletto,D524,Piemonte,Torino,TO,7.8931,2145,2190,5,278,0,0
001103,Fenestrelle,D532,Piemonte,Torino,TO,49.4091,471,481,1,1143,0,0
001104,Fiano,D562,Piemonte,Torino,TO,12.0396,2626,2679,3,435,0,0
001105,Fiorano Canavese,D608,Piemonte,Torino,TO,4.3457,738,735,3,249,0,0
001106,Foglizzo,D646,Piemonte,Torino,TO,15.6429,2256,2265,5,246,0,0
001107,Forno Canavese,D725,Piemonte,Torino,TO,16.5002,3166,3230,1,561,0,0
001108,Frassinetto,D781,Piemonte,Torino,TO,24.8186,272,279,1,1048,0,0
001109,Front,D805,Piemonte,Torino,TO,10.9482,1582,1613,3,272,0,0
001110,Frossasco,D812,Piemonte,Torino,TO,20.1488,2829,2799,3,375,0,0
001111,Garzigliana,D931,Piemonte,Torino,TO,7.4018,555,530,5,319,0,0
001112,Gassino Torinese,D933,Piemonte,Torino,TO,20.5108,9186,9361,3,230,0,0
001113,Germagnano,D983,Piemonte,Torino,TO,14.4442,1114,1120,1,489,0,0
001114,Giaglione,E009,Piemonte,Torino,TO,33.383,595,592,1,729,0,0
001115,Giaveno,E020,Piemonte,Torino,TO,71.7379,16295,16214,1,516,0,0
001116,Givoletto,E067,Piemonte,Torino,TO,12.8199,4077,4095,3,380,0,0
001117,Gravere,E154,Piemonte,Torino,TO,18.9872,681,666,1,812,0,0
001118,Groscavallo,E199,Piemonte,Torino,TO,92.0935,196,191,1,1069,0,0
001119,Grosso,E203,Piemonte,Torino,TO,4.3296,993,987,3,396,0,0
001120,Grugliasco,E216,Piemonte,Torino,TO,13.1375,36505,37090,5,302,0,0
001121,Ingria,E301,Piemonte,Torino,TO,14.7505,44,42,1,823,0,0
001122,Inverso Pinasca,E311,Piemonte,Torino,TO,8.0293,681,697,1,554,0,0
001123,Isolabella,E345,Piemonte,Torino,TO,4.7718,351,375,5,265,0,0
001124,Issiglio,E368,Piemonte,Torino,TO,5.5042,429,409,1,489,0,0
001125,Ivrea,E379,Piemonte,Torino,TO,30.1076,22532,22604,3,253,0,0
001126,La Cassa,E394,Piemonte,Torino,TO,12.0354,1759,1773,3,380,0,0
001127,La Loggia,E423,Piemonte,Torino,TO,12.7929,8702,8779,5,233,0,0
001128,Lanzo Torinese,E445,Piemonte,Torino,TO,10.2876,4995,4893,3,517,0,0
001129,Lauriano,E484,Piemonte,Torino,TO,14.2901,1404,1401,3,176,0,0
001130,Leini,E518,Piemonte,Torino,TO,31.9192,16232,16321,5,250,0,0
001131,Lemie,E520,Piemonte,Torino,TO,45.6752,158,185,1,957,0,0
001132,Lessolo,E551,Piemonte,Torino,TO,7.9365,1747,1777,3,291,0,0
001133,Levone,E566,Piemonte,Torino,TO,5.3912,460,443,3,359,0,0
001134,Locana,E635,Piemonte,Torino,TO,132.5175,1288,1339,1,610,0,0
001135,Lombardore,E660,Piemonte,Torino,TO,12.7157,1729,1670,5,262,0,0
001136,Lombriasco,E661,Piemonte,Torino,TO,7.2095,1057,1090,5,247,0,0
001137,Loranzè,E683,Piemonte,Torino,TO,4.1914,1213,1149,3,245,0,0
001139,Luserna San Giovanni,E758,Piemonte,Torino,TO,17.7414,7148,7162,3,478,0,0
001140,Lusernetta,E759,Piemonte,Torino,TO,7.0398,494,480,3,512,0,0
001141,Lusigliè,E763,Piemonte,Torino,TO,5.2585,554,541,5,271,0,0
001142,Macello,E782,Piemonte,Torino,TO,14.1404,1178,1155,5,303,0,0
001143,Maglione,E817,Piemonte,Torino,TO,6.3132,415,419,3,313,0,0
001144,Marentino,E941,Piemonte,Torino,TO,11.2599,1263,1300,3,381,0,0
001145,Massello,F041,Piemonte,Torino,TO,38.2587,55,57,1,1202,0,0
001146,Mathi,F053,Piemonte,Torino,TO,7.0703,3729,3777,3,409,0,0
001147,Mattie,F058,Piemonte,Torino,TO,28.6942,690,658,1,734,0,0
001148,Mazzè,F067,Piemonte,Torino,TO,27.3281,4307,4181,5,271,0,0
001149,Meana di Susa,F074,Piemonte,Torino,TO,16.5438,794,805,1,681,0,0
001150,Mercenasco,F140,Piemonte,Torino,TO,12.6384,1334,1291,3,269,0,0
001152,Mezzenile,F182,Piemonte,Torino,TO,29.0872,734,736,1,657,0,0
001153,Mombello di Torino,F315,Piemonte,Torino,TO,4.0825,399,387,3,338,0,0
001154,Mompantero,F318,Piemonte,Torino,TO,30.3331,609,642,1,497,0,0
001155,Monastero di Lanzo,F327,Piemonte,Torino,TO,17.6554,332,328,1,809,0,0
001156,Moncalieri,F335,Piemonte,Torino,TO,47.5444,55439,56193,5,265,0,0
001157,Moncenisio,D553,Piemonte,Torino,TO,4.5006,48,41,1,1437,0,0
001158,Montaldo Torinese,F407,Piemonte,Torino,TO,4.6568,714,736,3,370,0,0
001159,Montalenghe,F411,Piemonte,Torino,TO,6.4681,958,970,3,347,0,0
001160,Montalto Dora,F420,Piemonte,Torino,TO,7.3567,3296,3304,3,255,0,0
001161,Montanaro,F422,Piemonte,Torino,TO,20.9036,5024,5118,5,214,0,0
001162,Monteu da Po,F651,Piemonte,Torino,TO,7.3897,839,858,3,212,0,0
001163,Moriondo Torinese,F733,Piemonte,Torino,TO,6.4898,832,853,3,320,0,0
001164,Nichelino,F889,Piemonte,Torino,TO,20.6222,45830,46458,5,230,0,0
001165,Noasca,F906,Piemonte,Torino,TO,78.0484,99,107,1,1068,0,0
001166,Nole,F925,Piemonte,Torino,TO,11.353,6634,6803,3,372,0,0
001167,Nomaglio,F927,Piemonte,Torino,TO,3.0743,271,283,1,565,0,0
001168,None,F931,Piemonte,Torino,TO,24.6422,7662,7830,5,250,0,0
001169,Novalesa,F948,Piemonte,Torino,TO,28.5543,518,516,1,810,0,0
001170,Oglianico,G010,Piemonte,Torino,TO,6.303,1428,1455,5,334,0,0
001171,Orbassano,G087,Piemonte,Torino,TO,22.2081,22811,23044,5,281,0,0
001172,Orio Canavese,G109,Piemonte,Torino,TO,7.1541,732,756,3,336,0,0
001173,Osasco,G151,Piemonte,Torino,TO,5.4886,1158,1153,5,347,0,0
001174,Osasio,G152,Piemonte,Torino,TO,4.5771,899,936,5,246,0,0
001175,Oulx,G196,Piemonte,Torino,TO,99.7859,3277,3293,1,1082,0,0
001176,Ozegna,G202,Piemonte,Torino,TO,5.4058,1175,1176,5,305,0,0
001177,Palazzo Canavese,G262,Piemonte,Torino,TO,5.0819,836,839,3,250,0,0
001178,Pancalieri,G303,Piemonte,Torino,TO,15.8885,1958,1992,5,246,0,0
001179,Parella,G330,Piemonte,Torino,TO,2.6886,413,412,3,324,0,0
001180,Pavarolo,G387,Piemonte,Torino,TO,4.4056,1170,1148,3,371,0,0
001181,Pavone Canavese,G392,Piemonte,Torino,TO,11.5399,3618,3635,3,246,0,0
001183,Pecetto Torinese,G398,Piemonte,Torino,TO,9.1482,4020,4046,3,412,0,0
001184,Perosa Argentina,G463,Piemonte,Torino,TO,26.0905,3106,3094,1,633,0,0
001185,Perosa Canavese,G462,Piemonte,Torino,TO,4.708,499,525,3,266,0,0
001186,Perrero,G465,Piemonte,Torino,TO,63.3937,554,583,1,828,0,0
001187,Pertusio,G477,Piemonte,Torino,TO,4.0041,734,752,3,374,0,0
001188,Pessinetto,G505,Piemonte,Torino,TO,5.3498,599,608,1,597,0,0
001189,Pianezza,G559,Piemonte,Torino,TO,16.4634,15604,15449,5,331,0,0
001190,Pinasca,G672,Piemonte,Torino,TO,34.7185,2781,2853,1,551,0,0
001191,Pinerolo,G674,Piemonte,Torino,TO,50.3375,35439,35440,3,382,0,0
001192,Pino Torinese,G678,Piemonte,Torino,TO,21.8153,8357,8333,3,487,0,0
001193,Piobesi Torinese,G684,Piemonte,Torino,TO,19.6488,3762,3818,5,242,0,0
001194,Piossasco,G691,Piemonte,Torino,TO,40.1458,18051,18087,3,303,0,0
001195,Piscina,G705,Piemonte,Torino,TO,9.9033,3276,3319,5,288,0,0
001196,Piverone,G719,Piemonte,Torino,TO,11.0347,1227,1302,3,307,0,0
001197,Poirino,G777,Piemonte,Torino,TO,75.619,10197,10179,5,258,0,0
001198,Pomaretto,G805,Piemonte,Torino,TO,8.5611,944,971,1,609,0,0
001199,Pont Canavese,G826,Piemonte,Torino,TO,19.0611,3020,3087,1,469,0,0
001200,Porte,G900,Piemonte,Torino,TO,4.4477,1123,1079,1,439,0,0
001201,Pragelato,G973,Piemonte,Torino,TO,89.2018,705,735,1,1514,0,0
001202,Prali,G978,Piemonte,Torino,TO,72.6097,256,249,1,1455,0,0
001203,Pralormo,G979,Piemonte,Torino,TO,29.846,1871,1899,5,306,0,0
001204,Pramollo,G982,Piemonte,Torino,TO,22.4785,216,222,1,690,0,0
001205,Prarostino,G986,Piemonte,Torino,TO,10.5051,1259,1255,1,736,0,0
001206,Prascorsano,G988,Piemonte,Torino,TO,6.2419,695,726,3,592,0,0
001207,Pratiglione,G997,Piemonte,Torino,TO,7.8802,456,458,1,612,0,0
001208,Quagliuzzo,H100,Piemonte,Torino,TO,2.0379,315,333,3,341,0,0
001209,Quassolo,H120,Piemonte,Torino,TO,3.956,328,339,3,278,0,0
001210,Quincinetto,H127,Piemonte,Torino,TO,17.7884,976,992,1,298,0,0
001211,Reano,H207,Piemonte,Torino,TO,6.6657,1758,1753,3,458,0,0
001212,Ribordone,H270,Piemonte,Torino,TO,43.6001,47,49,1,1013,0,0
001213,Rivalba,H333,Piemonte,Torino,TO,10.8333,1141,1158,3,321,0,0
001214,Rivalta di Torino,H335,Piemonte,Torino,TO,25.1076,20057,20172,5,294,0,0
001215,Riva presso Chieri,H337,Piemonte,Torino,TO,35.833,4746,4750,5,266,0,0
001216,Rivara,H338,Piemonte,Torino,TO,12.5839,2456,2496,3,376,0,0
001217,Rivarolo Canavese,H340,Piemonte,Torino,TO,32.246,12326,12280,5,311,0,0
001218,Rivarossa,H344,Piemonte,Torino,TO,10.8733,1543,1548,3,246,0,0
001219,Rivoli,H355,Piemonte,Torino,TO,29.5,46560,47481,3,342,0,0
001220,Robassomero,H367,Piemonte,Torino,TO,8.5773,3077,3052,3,364,0,0
001221,Rocca Canavese,H386,Piemonte,Torino,TO,14.191,1717,1667,3,415,0,0
001222,Roletto,H498,Piemonte,Torino,TO,9.704,1974,1988,3,418,0,0
001223,Romano Canavese,H511,Piemonte,Torino,TO,11.2106,2702,2642,5,275,0,0
001224,Ronco Canavese,H539,Piemonte,Torino,TO,96.2688,383,293,1,952,0,0
001225,Rondissone,H547,Piemonte,Torino,TO,10.6878,1921,1849,5,216,0,0
001226,Rorà,H554,Piemonte,Torino,TO,12.4078,221,227,1,951,0,0
001227,Roure,H555,Piemonte,Torino,TO,59.3733,752,765,1,860,0,0
001228,Rosta,H583,Piemonte,Torino,TO,9.0649,5100,5056,3,393,0,0
001229,Rubiana,H627,Piemonte,Torino,TO,26.9371,2516,2391,1,647,0,0
001230,Rueglio,H631,Piemonte,Torino,TO,15.1003,788,788,1,666,0,0
001231,Salassa,H691,Piemonte,Torino,TO,4.952,1845,1792,5,347,0,0
001232,Salbertrand,H684,Piemonte,Torino,TO,38.3197,627,605,1,1035,0,0
001233,Salerano Canavese,H702,Piemonte,Torino,TO,2.1034,462,458,3,250,0,0
001234,Salza di Pinerolo,H734,Piemonte,Torino,TO,15.6752,61,74,1,1213,0,0
001235,Samone,H753,Piemonte,Torino,TO,2.4329,1519,1468,3,249,0,0
001236,San Benigno Canavese,H775,Piemonte,Torino,TO,22.2315,6079,5999,5,217,0,0
001237,San Carlo Canavese,H789,Piemonte,Torino,TO,20.9068,4036,4010,5,374,0,0
001238,San Colombano Belmonte,H804,Piemonte,Torino,TO,3.3808,358,358,3,554,0,0
001239,San Didero,H820,Piemonte,Torino,TO,3.3037,497,516,1,433,0,0
001240,San Francesco al Campo,H847,Piemonte,Torino,TO,14.9795,4808,4847,5,326,0,0
001241,Sangano,H855,Piemonte,Torino,TO,6.6512,3676,3686,3,342,0,0
001242,San Germano Chisone,H862,Piemonte,Torino,TO,15.8619,1709,1691,1,487,0,0
001243,San Gillio,H873,Piemonte,Torino,TO,8.8867,3264,3217,3,326,0,0
001244,San Giorgio Canavese,H890,Piemonte,Torino,TO,20.4051,2505,2534,5,282,0,0
001245,San Giorio di Susa,H900,Piemonte,Torino,TO,19.7367,958,987,1,427,0,0
001246,San Giusto Canavese,H936,Piemonte,Torino,TO,9.613,3270,3261,5,267,0,0
001247,San Martino Canavese,H997,Piemonte,Torino,TO,9.7933,822,811,3,394,0,0
001248,San Maurizio Canavese,I024,Piemonte,Torino,TO,17.3443,10275,10228,5,322,0,0
001249,San Mauro Torinese,I030,Piemonte,Torino,TO,12.5489,18411,18635,3,217,0,0
001250,San Pietro Val Lemina,I090,Piemonte,Torino,TO,12.4441,1447,1457,1,448,0,0
001251,San Ponso,I126,Piemonte,Torino,TO,2.1243,234,248,5,347,0,0
001252,San Raffaele Cimena,I137,Piemonte,Torino,TO,11.1226,3159,3146,3,195,0,0
001253,San Sebastiano da Po,I152,Piemonte,Torino,TO,16.5783,1883,1861,3,172,0,0
001254,San Secondo di Pinerolo,I154,Piemonte,Torino,TO,12.572,3630,3597,3,420,0,0
001255,Sant'Ambrogio di Torino,I258,Piemonte,Torino,TO,8.3684,4518,4597,3,361,0,0
001256,Sant'Antonino di Susa,I296,Piemonte,Torino,TO,9.7947,4074,4064,1,386,0,0
001257,Santena,I327,Piemonte,Torino,TO,16.1984,10480,10531,5,238,0,0
001258,Sauze di Cesana,I465,Piemonte,Torino,TO,78.2773,226,251,1,1563,0,0
001259,Sauze d'Oulx,I466,Piemonte,Torino,TO,17.3112,1004,1043,1,1508,0,0
001260,Scalenghe,I490,Piemonte,Torino,TO,31.6768,3195,3244,5,259,0,0
001261,Scarmagno,I511,Piemonte,Torino,TO,8.0309,796,802,3,285,0,0
001262,Sciolze,I539,Piemonte,Torino,TO,11.3557,1432,1463,3,413,0,0
001263,Sestriere,I692,Piemonte,Torino,TO,25.9159,907,919,1,2032,0,0
001264,Settimo Rottaro,I701,Piemonte,Torino,TO,6.0579,457,473,3,264,0,0
001265,Settimo Torinese,I703,Piemonte,Torino,TO,31.3902,45586,46056,5,210,0,0
001266,Settimo Vittone,I702,Piemonte,Torino,TO,23.2614,1521,1491,1,287,0,0
001267,Sparone,I886,Piemonte,Torino,TO,29.6786,907,928,1,539,0,0
001268,Strambinello,I969,Piemonte,Torino,TO,2.214,240,260,3,392,0,0
001269,Strambino,I970,Piemonte,Torino,TO,22.4686,6054,6080,5,259,0,0
001270,Susa,L013,Piemonte,Torino,TO,10.988,5840,5940,1,510,0,0
001271,Tavagnasco,L066,Piemonte,Torino,TO,8.675,736,745,1,271,0,0
001272,Torino,L219,Piemonte,Torino,TO,129.9988,853196,848748,5,258,0,0
001273,Torrazza Piemonte,L238,Piemonte,Torino,TO,9.8239,3011,3000,5,188,0,0
001274,Torre Canavese,L247,Piemonte,Torino,TO,5.4545,603,620,3,394,0,0
001275,Torre Pellice,L277,Piemonte,Torino,TO,21.0981,4584,4591,1,528,0,0
001276,Trana,L327,Piemonte,Torino,TO,16.4058,3755,3813,3,383,0,0
001278,Traversella,L345,Piemonte,Torino,TO,39.36,310,319,1,816,0,0
001279,Traves,L340,Piemonte,Torino,TO,10.4544,493,486,1,630,0,0
001280,Trofarello,L445,Piemonte,Torino,TO,12.3476,10497,10580,5,247,0,0
001281,Usseaux,L515,Piemonte,Torino,TO,37.9669,174,178,1,1447,0,0
001282,Usseglio,L516,Piemonte,Torino,TO,98.5378,191,195,1,1270,0,0
001283,Vaie,L538,Piemonte,Torino,TO,7.2293,1347,1389,1,384,0,0
001284,Val della Torre,L555,Piemonte,Torino,TO,36.5262,3978,3982,1,506,0,0
001285,Valgioie,L578,Piemonte,Torino,TO,9.1197,983,976,1,873,0,0
001286,Vallo Torinese,L629,Piemonte,Torino,TO,6.0792,785,780,3,474,0,0
001287,Valperga,L644,Piemonte,Torino,TO,11.9095,2978,2974,3,391,0,0
001288,Valprato Soana,B510,Piemonte,Torino,TO,71.8553,86,90,1,1113,0,0
001289,Varisella,L685,Piemonte,Torino,TO,22.5578,844,850,3,498,0,0
001290,Vauda Canavese,L698,Piemonte,Torino,TO,7.0929,1427,1435,3,400,0,0
001291,Venaus,L726,Piemonte,Torino,TO,19.1436,852,871,1,599,0,0
001292,Venaria Reale,L727,Piemonte,Torino,TO,20.4469,32035,32462,5,263,0,0
001293,Verolengo,L779,Piemonte,Torino,TO,29.4607,4777,4782,5,172,0,0
001294,Verrua Savoia,L787,Piemonte,Torino,TO,31.9434,1326,1341,3,289,0,0
001295,Vestignè,L811,Piemonte,Torino,TO,12.0691,754,753,5,238,0,0
001296,Vialfrè,L830,Piemonte,Torino,TO,4.6453,253,257,3,480,0,0
001298,Vidracco,L857,Piemonte,Torino,TO,2.9677,454,482,3,470,0,0
001299,Vigone,L898,Piemonte,Torino,TO,41.1543,5055,5086,5,267,0,0
001300,Villafranca Piemonte,L948,Piemonte,Torino,TO,50.7862,4591,4562,5,262,0,0
001301,Villanova Canavese,L982,Piemonte,Torino,TO,4.0307,1207,1205,3,388,0,0
001302,Villarbasse,M002,Piemonte,Torino,TO,10.4088,3504,3500,3,389,0,0
001303,Villar Dora,L999,Piemonte,Torino,TO,5.7067,2784,2795,3,364,0,0
001304,Villareggia,M004,Piemonte,Torino,TO,11.4096,990,996,5,273,0,0
001305,Villar Focchiardo,M007,Piemonte,Torino,TO,25.6867,1936,1955,1,454,0,0
001306,Villar Pellice,M013,Piemonte,Torino,TO,60.293,1055,1047,1,675,0,0
001307,Villar Perosa,M014,Piemonte,Torino,TO,11.4231,3902,3898,1,527,0,0
001308,Villastellone,M027,Piemonte,Torino,TO,19.8766,4310,4472,5,237,0,0
001309,Vinovo,M060,Piemonte,Torino,TO,17.6327,15334,15154,5,235,0,0
001310,Virle Piemonte,M069,Piemonte,Torino,TO,14.0573,1180,1153,5,251,0,0
001311,Vische,M071,Piemonte,Torino,TO,17.0748,1195,1196,5,244,0,0
001312,Vistrorio,M080,Piemonte,Torino,TO,4.6818,524,506,3,482,0,0
001313,Viù,M094,Piemonte,Torino,TO,84.1122,1100,1023,1,778,0,0
001314,Volpiano,M122,Piemonte,Torino,TO,32.4806,15011,15199,5,227,0,0
001315,Volvera,M133,Piemonte,Torino,TO,20.9827,8420,8521,5,256,0,0
001316,Mappano,M316,Piemonte,Torino,TO,9.8174,7270,7369,5,234,0,0
001317,Val di Chy,M405,Piemonte,Torino,TO,13.831,1223,1235,3,610,0,0
001318,Valchiusa,M415,Piemonte,Torino,TO,49.6268,1026,1003,1,740,0,0
002002,Alagna Valsesia,A119,Piemonte,Vercelli,VC,133.1714,725,730,1,1178,0,0
002003,Albano Vercellese,A130,Piemonte,Vercelli,VC,13.7809,310,310,5,152,0,0
